Exponent,Latency (ms)
2^0,0.003666
2^0,0.000311
2^0,0.000305
2^0,0.000688
2^0,0.000302
2^1,0.000310
2^1,0.000676
2^1,0.000298
2^1,0.000299
2^1,0.000304
2^2,0.000306
2^2,0.000298
2^2,0.000460
2^2,0.000292
2^2,0.000301
2^3,0.000495
2^3,0.000301
2^3,0.000301
2^3,0.000303
2^3,0.000302
2^4,0.000298
2^4,0.000302
2^4,0.000307
2^4,0.000294
2^4,0.000305
2^5,0.000415
2^5,0.000351
2^5,0.000354
2^5,0.000398
2^5,0.000396
2^6,0.000400
2^6,0.000383
2^6,0.000392
2^6,0.000366
2^6,0.000400
2^7,0.004688
2^7,0.001685
2^7,0.001654
2^7,0.002876
2^7,0.001690
2^8,0.002225
2^8,0.001343
2^8,0.003103
2^8,0.001053
2^8,0.001283
2^9,0.001188
2^9,0.001753
2^9,0.002395
2^9,0.000622
2^9,0.000544
2^10,0.000718
2^10,0.003127
2^10,0.001106
2^10,0.001099
2^10,0.000614
2^11,0.002736
2^11,0.003842
2^11,0.002202
2^11,0.002093
2^11,0.000850
2^12,0.004804
2^12,0.005157
2^12,0.003605
2^12,0.005433
2^12,0.001226
2^13,0.006986
2^13,0.004728
2^13,0.004998
2^13,0.003151
2^13,0.002604
2^14,0.009276
2^14,0.006755
2^14,0.009922
2^14,0.005677
2^14,0.004426
2^15,0.007319
2^15,0.006978
2^15,0.005209
2^15,0.005583
2^15,0.005500
2^16,0.009223
2^16,0.009616
2^16,0.009505
2^16,0.009350
2^16,0.009440
2^17,0.018856
2^17,0.017805
2^17,0.017988
2^17,0.018222
2^17,0.018212
2^18,0.130205
2^18,0.015125
2^18,0.013969
2^18,0.012782
2^18,0.010490
2^19,0.119711
2^19,0.024464
2^19,0.024074
2^19,0.024738
2^19,0.023884
2^20,0.171443
2^20,0.050429
2^20,0.048534
2^20,0.048561
2^20,0.047529
