Exponent,Latency (ms)
2^0,0.001493
2^0,0.000099
2^0,0.000100
2^0,0.000297
2^0,0.000112
2^1,0.000104
2^1,0.000350
2^1,0.000103
2^1,0.000096
2^1,0.000101
2^2,0.000104
2^2,0.000098
2^2,0.000224
2^2,0.000097
2^2,0.000104
2^3,0.000113
2^3,0.000109
2^3,0.000100
2^3,0.000099
2^3,0.000105
2^4,0.000102
2^4,0.000096
2^4,0.000099
2^4,0.000100
2^4,0.000099
2^5,0.000126
2^5,0.000102
2^5,0.000095
2^5,0.000104
2^5,0.000109
2^6,0.000100
2^6,0.000104
2^6,0.000099
2^6,0.000100
2^6,0.000102
2^7,0.002372
2^7,0.000697
2^7,0.000732
2^7,0.001343
2^7,0.000796
2^8,0.001006
2^8,0.000696
2^8,0.002006
2^8,0.000664
2^8,0.000680
2^9,0.000829
2^9,0.001104
2^9,0.001386
2^9,0.000243
2^9,0.000250
2^10,0.000265
2^10,0.001790
2^10,0.000569
2^10,0.000553
2^10,0.000291
2^11,0.001401
2^11,0.002667
2^11,0.001465
2^11,0.002100
2^11,0.000448
2^12,0.002824
2^12,0.003546
2^12,0.002730
2^12,0.003398
2^12,0.000579
2^13,0.003967
2^13,0.002604
2^13,0.002666
2^13,0.001858
2^13,0.001521
2^14,0.005748
2^14,0.004327
2^14,0.003398
2^14,0.003531
2^14,0.003525
2^15,0.005285
2^15,0.006098
2^15,0.004248
2^15,0.006483
2^15,0.004030
2^16,0.007824
2^16,0.008042
2^16,0.008101
2^16,0.007944
2^16,0.007956
2^17,0.016239
2^17,0.015590
2^17,0.017771
2^17,0.015468
2^17,0.015836
2^18,0.073696
2^18,0.005588
2^18,0.005651
2^18,0.005545
2^18,0.005489
2^19,0.092742
2^19,0.014997
2^19,0.013411
2^19,0.013355
2^19,0.013463
2^20,0.109507
2^20,0.024793
2^20,0.024243
2^20,0.023437
2^20,0.023289
