Exponent,Latency (ms)
2^0,0.236703
2^0,0.000095
2^0,0.000092
2^0,0.000087
2^0,0.000087
2^1,0.000109
2^1,0.000085
2^1,0.000087
2^1,0.000082
2^1,0.000118
2^2,0.000106
2^2,0.000085
2^2,0.000092
2^2,0.000106
2^2,0.000097
2^3,0.000101
2^3,0.000094
2^3,0.000104
2^3,0.000093
2^3,0.000090
2^4,0.000102
2^4,0.000094
2^4,0.000086
2^4,0.000091
2^4,0.000084
2^5,0.000132
2^5,0.000086
2^5,0.000093
2^5,0.000116
2^5,0.000090
2^6,0.000241
2^6,0.000164
2^6,0.000166
2^6,0.000195
2^6,0.000163
2^7,0.000184
2^7,0.000177
2^7,0.000181
2^7,0.000179
2^7,0.000214
2^8,0.000560
2^8,0.000291
2^8,0.000255
2^8,0.000243
2^8,0.000277
2^9,0.000331
2^9,0.000372
2^9,0.000308
2^9,0.000318
2^9,0.000337
2^10,0.000420
2^10,0.000387
2^10,0.000395
2^10,0.000399
2^10,0.000409
2^11,0.124911
2^11,0.000741
2^11,0.000702
2^11,0.000638
2^11,0.000692
2^12,0.001005
2^12,0.001020
2^12,0.000928
2^12,0.000861
2^12,0.000945
2^13,0.001334
2^13,0.001216
2^13,0.001347
2^13,0.001236
2^13,0.001276
2^14,0.002401
2^14,0.001920
2^14,0.001977
2^14,0.001809
2^14,0.002054
2^15,0.002786
2^15,0.002776
2^15,0.002851
2^15,0.002773
2^15,0.002761
2^16,0.004696
2^16,0.004584
2^16,0.004392
2^16,0.004741
2^16,0.004767
2^17,0.009134
2^17,0.008317
2^17,0.008331
2^17,0.008477
2^17,0.008294
2^18,0.062804
2^18,0.014408
2^18,0.014137
2^18,0.014185
2^18,0.016086
2^19,0.113143
2^19,0.024814
2^19,0.024750
2^19,0.025573
2^19,0.024751
2^20,0.132157
2^20,0.046168
2^20,0.046078
2^20,0.046031
2^20,0.046067
