Exponent,Latency (ms)
2^0,0.017695
2^0,0.001528
2^0,0.001505
2^0,0.001473
2^0,0.001491
2^1,0.001501
2^1,0.001471
2^1,0.001484
2^1,0.001493
2^1,0.001553
2^2,0.001522
2^2,0.001543
2^2,0.001698
2^2,0.001499
2^2,0.001551
2^3,0.001568
2^3,0.001541
2^3,0.001493
2^3,0.001537
2^3,0.001491
2^4,0.001556
2^4,0.001520
2^4,0.001486
2^4,0.001496
2^4,0.001502
2^5,0.001618
2^5,0.001642
2^5,0.001665
2^5,0.001618
2^5,0.001624
2^6,0.001778
2^6,0.001750
2^6,0.001754
2^6,0.001757
2^6,0.001746
2^7,0.001908
2^7,0.001920
2^7,0.001919
2^7,0.001938
2^7,0.001911
2^8,0.002375
2^8,0.002425
2^8,0.002377
2^8,0.002349
2^8,0.002329
2^9,0.002710
2^9,0.002677
2^9,0.002710
2^9,0.002676
2^9,0.002678
2^10,0.003262
2^10,0.003186
2^10,0.003183
2^10,0.003209
2^10,0.003158
2^11,0.010233
2^11,0.004387
2^11,0.004361
2^11,0.004338
2^11,0.004391
2^12,0.006366
2^12,0.006404
2^12,0.006338
2^12,0.006321
2^12,0.006334
2^13,0.009631
2^13,0.009482
2^13,0.009483
2^13,0.009476
2^13,0.009472
2^14,0.013781
2^14,0.013725
2^14,0.013681
2^14,0.013674
2^14,0.013694
2^15,0.024178
2^15,0.024276
2^15,0.024304
2^15,0.024206
2^15,0.024196
2^16,0.038990
2^16,0.039063
2^16,0.039054
2^16,0.039004
2^16,0.039004
2^17,0.067098
2^17,0.066743
2^17,0.066922
2^17,0.066816
2^17,0.066847
2^18,0.129172
2^18,0.124257
2^18,0.124372
2^18,0.085760
2^18,0.040595
2^19,0.081027
2^19,0.073826
2^19,0.073743
2^19,0.073917
2^19,0.073811
2^20,0.143057
2^20,0.131470
2^20,0.131812
2^20,0.131798
2^20,0.131926
