Exponent,Latency (ms)
2^0,0.002457
2^0,0.000113
2^0,0.000098
2^0,0.000253
2^0,0.000101
2^1,0.000106
2^1,0.000364
2^1,0.000102
2^1,0.000099
2^1,0.000101
2^2,0.000102
2^2,0.000097
2^2,0.000230
2^2,0.000103
2^2,0.000098
2^3,0.000112
2^3,0.000102
2^3,0.000100
2^3,0.000102
2^3,0.000099
2^4,0.000105
2^4,0.000099
2^4,0.000097
2^4,0.000101
2^4,0.000100
2^5,0.000122
2^5,0.000104
2^5,0.000098
2^5,0.000101
2^5,0.000100
2^6,0.000100
2^6,0.000105
2^6,0.000104
2^6,0.000102
2^6,0.000105
2^7,0.002603
2^7,0.000727
2^7,0.000732
2^7,0.001397
2^7,0.000708
2^8,0.000947
2^8,0.000685
2^8,0.001248
2^8,0.001501
2^8,0.000666
2^9,0.000778
2^9,0.000966
2^9,0.001510
2^9,0.000213
2^9,0.000210
2^10,0.000282
2^10,0.001606
2^10,0.000538
2^10,0.000493
2^10,0.000249
2^11,0.001090
2^11,0.002242
2^11,0.001394
2^11,0.001225
2^11,0.000424
2^12,0.003142
2^12,0.003438
2^12,0.002401
2^12,0.003082
2^12,0.000658
2^13,0.003896
2^13,0.002539
2^13,0.002387
2^13,0.001851
2^13,0.001585
2^14,0.005678
2^14,0.004157
2^14,0.003163
2^14,0.004079
2^14,0.002603
2^15,0.005050
2^15,0.005077
2^15,0.003963
2^15,0.004055
2^15,0.003835
2^16,0.007287
2^16,0.007464
2^16,0.007970
2^16,0.007602
2^16,0.007626
2^17,0.015439
2^17,0.015259
2^17,0.015808
2^17,0.014787
2^17,0.015070
2^18,0.071302
2^18,0.008960
2^18,0.009329
2^18,0.009057
2^18,0.008955
2^19,0.073316
2^19,0.014223
2^19,0.013478
2^19,0.013990
2^19,0.013233
2^20,0.090547
2^20,0.028961
2^20,0.029617
2^20,0.024260
2^20,0.028345
