Exponent,Latency (ms)
2^0,0.284906
2^0,0.001104
2^0,0.001111
2^0,0.001106
2^0,0.001101
2^1,0.001114
2^1,0.004589
2^1,0.001102
2^1,0.001104
2^1,0.001114
2^2,0.001114
2^2,0.001112
2^2,0.001124
2^2,0.001115
2^2,0.001115
2^3,0.001127
2^3,0.001117
2^3,0.001107
2^3,0.001113
2^3,0.001116
2^4,0.001117
2^4,0.001110
2^4,0.001123
2^4,0.001112
2^4,0.001110
2^5,0.001271
2^5,0.001244
2^5,0.001219
2^5,0.001205
2^5,0.001198
2^6,0.004182
2^6,0.001361
2^6,0.001328
2^6,0.001338
2^6,0.001339
2^7,0.001401
2^7,0.001342
2^7,0.001390
2^7,0.001381
2^7,0.001339
2^8,0.002177
2^8,0.001599
2^8,0.001616
2^8,0.001597
2^8,0.001613
2^9,0.001840
2^9,0.001805
2^9,0.001776
2^9,0.001831
2^9,0.001813
2^10,0.001870
2^10,0.001881
2^10,0.001911
2^10,0.001864
2^10,0.001861
2^11,0.117480
2^11,0.002483
2^11,0.002475
2^11,0.002469
2^11,0.002426
2^12,0.003082
2^12,0.003059
2^12,0.003006
2^12,0.002996
2^12,0.002996
2^13,0.003705
2^13,0.003776
2^13,0.004175
2^13,0.003658
2^13,0.003777
2^14,0.005727
2^14,0.004930
2^14,0.005067
2^14,0.004908
2^14,0.004946
2^15,0.006743
2^15,0.006703
2^15,0.006645
2^15,0.007235
2^15,0.006624
2^16,0.009951
2^16,0.009783
2^16,0.009911
2^16,0.009408
2^16,0.009738
2^17,0.015904
2^17,0.015302
2^17,0.016129
2^17,0.015106
2^17,0.015782
2^18,0.113376
2^18,0.028122
2^18,0.026931
2^18,0.026935
2^18,0.026926
2^19,0.166741
2^19,0.048225
2^19,0.048641
2^19,0.048555
2^19,0.048278
2^20,0.212500
2^20,0.090738
2^20,0.090794
2^20,0.091064
2^20,0.091415
