Exponent,Latency (ms)
2^0,0.000631
2^0,0.000284
2^0,0.000394
2^0,0.000269
2^0,0.000267
2^1,0.000267
2^1,0.000267
2^1,0.000266
2^1,0.000267
2^1,0.000268
2^2,0.000266
2^2,0.000266
2^2,0.000266
2^2,0.000267
2^2,0.000268
2^3,0.000279
2^3,0.000266
2^3,0.000265
2^3,0.000267
2^3,0.000264
2^4,0.000264
2^4,0.000264
2^4,0.000265
2^4,0.000267
2^4,0.000265
2^5,0.000369
2^5,0.000370
2^5,0.000367
2^5,0.000427
2^5,0.000369
2^6,0.000359
2^6,0.000357
2^6,0.000360
2^6,0.000359
2^6,0.000359
2^7,0.001605
2^7,0.000603
2^7,0.000408
2^7,0.000407
2^7,0.000402
2^8,0.000566
2^8,0.000405
2^8,0.000406
2^8,0.000406
2^8,0.000416
2^9,0.000773
2^9,0.000544
2^9,0.000496
2^9,0.000480
2^9,0.000485
2^10,0.000944
2^10,0.000679
2^10,0.000557
2^10,0.000553
2^10,0.000564
2^11,0.001570
2^11,0.001030
2^11,0.000964
2^11,0.000912
2^11,0.000892
2^12,0.002802
2^12,0.001375
2^12,0.001281
2^12,0.001258
2^12,0.001304
2^13,0.002386
2^13,0.001977
2^13,0.002000
2^13,0.001917
2^13,0.001967
2^14,0.004183
2^14,0.002991
2^14,0.003041
2^14,0.002969
2^14,0.002966
2^15,0.005135
2^15,0.005053
2^15,0.005055
2^15,0.004986
2^15,0.004944
2^16,0.008881
2^16,0.008907
2^16,0.008978
2^16,0.008876
2^16,0.009307
2^17,0.019805
2^17,0.020042
2^17,0.020213
2^17,0.020000
2^17,0.020017
2^18,0.019209
2^18,0.007839
2^18,0.007907
2^18,0.007929
2^18,0.007880
2^19,0.029486
2^19,0.018950
2^19,0.018924
2^19,0.018960
2^19,0.019093
2^20,0.049932
2^20,0.037142
2^20,0.036220
2^20,0.033739
2^20,0.031269
