Exponent,Latency (ms)
2^0,1.312094
2^0,0.000380
2^0,0.000140
2^0,0.000145
2^0,0.000105
2^1,0.000145
2^1,0.000105
2^1,0.000110
2^1,0.000140
2^1,0.000110
2^2,0.000140
2^2,0.000115
2^2,0.000265
2^2,0.000120
2^2,0.000105
2^3,0.000195
2^3,0.000115
2^3,0.000290
2^3,0.000100
2^3,0.000110
2^4,0.000115
2^4,0.000105
2^4,0.000100
2^4,0.000110
2^4,0.000115
2^5,0.000160
2^5,0.000105
2^5,0.000110
2^5,0.000105
2^5,0.000105
2^6,0.000175
2^6,0.000190
2^6,0.000260
2^6,0.000105
2^6,0.000150
2^7,0.000225
2^7,0.000150
2^7,0.000150
2^7,0.000155
2^7,0.000175
2^8,0.001850
2^8,0.000225
2^8,0.000170
2^8,0.000225
2^8,0.000320
2^9,0.000255
2^9,0.003865
2^9,0.572255
2^9,0.000350
2^9,0.000185
2^10,0.000250
2^10,0.000220
2^10,0.000220
2^10,0.000475
2^10,0.000260
2^11,0.002520
2^11,0.000495
2^11,0.000515
2^11,0.000465
2^11,0.000515
2^12,0.000400
2^12,0.001165
2^12,0.000495
2^12,0.001245
2^12,0.000415
2^13,0.001125
2^13,0.001310
2^13,0.000705
2^13,0.001720
2^13,0.000490
2^14,0.005915
2^14,0.000990
2^14,0.000995
2^14,0.005385
2^14,0.001060
2^15,0.003055
2^15,0.003020
2^15,0.002080
2^15,0.002160
2^15,0.005665
2^16,0.005020
2^16,0.004855
2^16,0.018665
2^16,0.003830
2^16,0.003875
2^17,0.012959
2^17,0.007384
2^17,0.008295
2^17,0.010445
2^17,0.010800
2^18,0.272062
2^18,0.016055
2^18,0.014365
2^18,0.014195
2^18,0.014745
2^19,0.634639
2^19,0.025535
2^19,0.025050
2^19,0.025319
2^19,0.024995
2^20,0.862548
2^20,0.048025
2^20,0.046370
2^20,0.047635
2^20,0.048170
