Exponent,Latency (ms)
2^0,0.043625
2^0,0.000175
2^0,0.000430
2^0,0.000755
2^0,0.000100
2^1,0.000110
2^1,0.000085
2^1,0.000775
2^1,0.000085
2^1,0.000080
2^2,0.000095
2^2,0.000075
2^2,0.000080
2^2,0.000080
2^2,0.000075
2^3,0.000125
2^3,0.000085
2^3,0.000080
2^3,0.000090
2^3,0.000080
2^4,0.000090
2^4,0.000090
2^4,0.000085
2^4,0.000105
2^4,0.000080
2^5,0.000090
2^5,0.000075
2^5,0.000080
2^5,0.000080
2^5,0.000280
2^6,0.001645
2^6,0.000100
2^6,0.000095
2^6,0.000100
2^6,0.000110
2^7,0.006860
2^7,0.001220
2^7,0.001330
2^7,0.000955
2^7,0.000915
2^8,0.000900
2^8,0.002750
2^8,0.004020
2^8,0.002690
2^8,0.000940
2^9,0.001060
2^9,0.000940
2^9,0.000935
2^9,0.000960
2^9,0.001245
2^10,0.000810
2^10,0.000805
2^10,0.000815
2^10,0.000920
2^10,0.000840
2^11,0.000870
2^11,0.000930
2^11,0.000960
2^11,0.000890
2^11,0.000855
2^12,0.002585
2^12,0.003475
2^12,0.003050
2^12,0.003515
2^12,0.003055
2^13,0.003925
2^13,0.003075
2^13,0.003225
2^13,0.003045
2^13,0.002899
2^14,0.008870
2^14,0.005895
2^14,0.005660
2^14,0.005925
2^14,0.006279
2^15,0.011315
2^15,0.012795
2^15,0.011630
2^15,0.012470
2^15,0.010765
2^16,0.016070
2^16,0.018180
2^16,0.016585
2^16,0.003370
2^16,0.002520
2^17,0.005675
2^17,0.007250
2^17,0.006230
2^17,0.005330
2^17,0.006890
2^18,0.315854
2^18,0.010675
2^18,0.009955
2^18,0.008570
2^18,0.007780
2^19,0.505427
2^19,0.019035
2^19,0.019830
2^19,0.020375
2^19,0.017715
2^20,0.418998
2^20,0.042169
2^20,0.035695
2^20,0.035495
2^20,0.083554
