Exponent,Latency (ms)
2^0,0.262459
2^0,0.000712
2^0,0.000663
2^0,0.000629
2^0,0.000747
2^1,0.000719
2^1,0.000664
2^1,0.000768
2^1,0.000663
2^1,0.000719
2^2,0.000719
2^2,0.000712
2^2,0.000706
2^2,0.000754
2^2,0.000663
2^3,0.000719
2^3,0.000698
2^3,0.000706
2^3,0.000712
2^3,0.000712
2^4,0.000705
2^4,0.000712
2^4,0.000712
2^4,0.000698
2^4,0.000712
2^5,0.000754
2^5,0.000657
2^5,0.000705
2^5,0.000705
2^5,0.000712
2^6,0.000720
2^6,0.000712
2^6,0.000761
2^6,0.000754
2^6,0.000719
2^7,0.000719
2^7,0.000691
2^7,0.000719
2^7,0.000943
2^7,0.000705
2^8,0.001103
2^8,0.000845
2^8,0.000768
2^8,0.000845
2^8,0.000789
2^9,0.000754
2^9,0.000817
2^9,0.000803
2^9,0.000838
2^9,0.000950
2^10,0.000866
2^10,0.119079
2^10,0.000796
2^10,0.000761
2^10,0.000873
2^11,0.001334
2^11,0.000810
2^11,0.000957
2^11,0.000852
2^11,0.000901
2^12,0.001047
2^12,0.000992
2^12,0.001090
2^12,0.000992
2^12,0.001089
2^13,0.001313
2^13,0.001481
2^13,0.001313
2^13,0.001243
2^13,0.001544
2^14,0.002458
2^14,0.002249
2^14,0.001865
2^14,0.001928
2^14,0.002298
2^15,0.003066
2^15,0.003185
2^15,0.002975
2^15,0.002933
2^15,0.002940
2^16,0.004875
2^16,0.004721
2^16,0.004924
2^16,0.004721
2^16,0.005021
2^17,0.009863
2^17,0.011775
2^17,0.010733
2^17,0.011532
2^17,0.011782
2^18,0.128590
2^18,0.015756
2^18,0.015742
2^18,0.015658
2^18,0.015610
2^19,0.099160
2^19,0.025310
2^19,0.025164
2^19,0.025122
2^19,0.025122
2^20,0.102422
2^20,0.047017
2^20,0.046898
2^20,0.046615
2^20,0.046682
